Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
MPI,put,100,90,0.02,0.75,1,10000000,0,25,0.264312061,0.062052937,21.9787915,-0.007117779841
MPI,put,100,90,0.02,0.75,1,10000000,0,50,0.440530504,0.054569858,21.98742022,0.001510936398
MPI,put,100,90,0.02,0.75,1,10000000,0,100,1.097150405,0.033408389,21.98627797,0.0003686868468
MPI,put,100,90,0.02,0.75,1,25000000,0,1,2.643938156,2.524089287,21.9831447,-0.002764575827
MPI,put,100,90,0.02,0.75,1,25000000,0,5,0.67790535,0.533512398,21.99278752,0.00687824284
MPI,put,100,90,0.02,0.75,1,25000000,0,10,0.465178486,0.303134491,21.98735825,0.001448969633
MPI,put,100,90,0.02,0.75,1,25000000,0,25,0.372992779,0.152730712,21.97898342,-0.0069258563
MPI,put,100,90,0.02,0.75,1,25000000,0,50,0.568040797,0.17595756,21.98917162,0.00326233614
MPI,put,100,90,0.02,0.75,1,25000000,0,100,0.978890542,0.151068922,21.98144051,-0.004468765872
MPI,put,100,90,0.02,0.75,1,50000000,0,1,5.157434795,5.030263989,21.9887179,0.00280861916
MPI,put,100,90,0.02,0.75,1,50000000,0,5,1.299382068,1.153661606,21.98369599,-0.002213286608
